Country Name,Country Code,region,"2020 [YR2020] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2020 [YR2020] - Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population ages 65 and above, total [SP.POP.65UP.TO]",2020 [YR2020] - Population density (people per sq. km of land area) [EN.POP.DNST],2020 [YR2020] - Proportion of people living below 50 percent of median income (%) [SI.DST.50MD],2020 [YR2020] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2020 [YR2020] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2020 [YR2020] - Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"2020 [YR2020] - Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","2020 [YR2020] - Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","2020 [YR2020] - Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","2020 [YR2020] - Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]",2020 [YR2020] - Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"2020 [YR2020] - Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
Kuwait,KWT,Middle East & North Africa,46382.89974,76.92,2.3416,4360444,173716,244.6938272,..,0,100,17.9,2.2,33.5,..,..,5.67045593,..
Kyrgyz Republic,KGZ,Europe & Central Asia,4990.928369,71.8,..,6579900,280829,34.30604797,5,63.144,36.856,25.4,2.8,48,6.093910217,..,2.35807395,4.63
Lao PDR,LAO,East Asia & Pacific,8198.836474,68.497,0.3539,7319399,313166,31.71316724,..,63.71,36.29,31.8,10.3,53.3,1.91597271,..,1.15479565,..
Latvia,LVA,Europe & Central Asia,33018.62417,75.18536585,3.4047,1900449,406699,30.53911297,12.2,31.685,68.315,37,23.7,50.3,4.821040154,..,4.7241993,8.1
Lebanon,LBN,Middle East & North Africa,14563.77053,77.804,..,5662923,529487,553.5604106,..,11.075,88.925,38.2,28.9,47.5,1.669968128,..,2.63267303,..
Lesotho,LSO,Sub-Saharan Africa,2413.078683,54.693,..,2254100,94919,74.24571805,..,70.972,29.028,24.3,5.4,43.1,6.997992516,..,6.09236574,..
Liberia,LBR,Sub-Saharan Africa,1461.341447,60.948,..,5087584,171714,52.81960133,..,47.911,52.089,8.2,2,14.3,2.139914513,..,1.58623326,..
Libya,LBY,Middle East & North Africa,16495.99022,72.472,..,6653942,319722,3.781637246,..,19.309,80.691,..,..,..,..,..,..,..
Liechtenstein,LIE,Europe & Central Asia,..,81.65853659,..,38756,7160,242.225,..,85.584,14.416,..,..,..,..,..,..,..
Lithuania,LTU,Europe & Central Asia,40176.46004,74.97804878,..,2794885,570717,44.63246567,10.4,31.954,68.046,32,21.8,42.1,4.512559891,89.86580658,5.17632532,8.49
Luxembourg,LUX,Europe & Central Asia,120010.2083,82.14390244,..,630419,91777,244.8742649,14.3,8.547,91.453,21.1,19.8,22.4,3.838229895,..,5.03534985,6.77
"Macao SAR, China",MAC,East Asia & Pacific,58248.35695,85.184,..,676283,78987,20555.71429,..,0,100,..,..,..,6.360320091,..,..,2.57
Madagascar,MDG,Sub-Saharan Africa,1516.654232,65.182,..,28225177,916246,48.51353902,..,61.466,38.534,27.8,12.8,42.7,3.25443387,..,1.4370451,..
Malawi,MWI,Sub-Saharan Africa,1573.039483,63.717,0.0501,19377061,540426,205.5267395,..,82.573,17.427,10.8,4.1,17.5,..,12.14766979,1.97010148,0.91
Malaysia,MYS,East Asia & Pacific,27277.86229,75.938,2.2855,33199993,2327890,101.0500472,..,22.84,77.16,22.5,1.1,43.8,4.520450115,..,2.17579722,4.54
Maldives,MDV,South Asia,14171.00128,79.875,..,514438,22553,1714.793333,..,59.331,40.669,25.2,6,44.4,5.794967651,..,9.07674503,..
Mali,MLI,Sub-Saharan Africa,2242.791702,58.633,..,21224040,529726,17.39404519,..,56.091,43.909,8.3,1,15.6,3.954459906,5.408860207,1.4803977,3.53
Malta,MLT,Middle East & North Africa,44925.83118,82.34878049,..,515332,97095,1610.4125,9.9,5.256,94.744,24,21.6,26.4,5.765721798,48.27286148,7.22626591,4.35
